Moderate,,,,,,Critical,,,
Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CD4/Treg (scale),PDCD1_CTL (scale),,,Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CTL(scale),PDCD1_Treg (scale)
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0.751868282,0,1.403069728,,,1.144638836,0,0,2.02051445
0,0,0,0,,,0.873276104,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.813154028,1.462908633,,,0,0,0,0.809438567
0,0,0,0,,,0,0,0,0
0,1.214787963,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.044215568,0
0,0,0,0,,,0,0,0,0
0,0,0,1.690602072,,,0,0,0,0.959921425
0,0,0,0,,,0,0,0,0
0,0,0,1.143127039,,,0.939841893,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,2.304494304,0,0,0
0,0,0,0,,,0,0,1.131153315,0
0,1.001569524,0.995099547,0,,,0,0,0,0
0,0,1.348140149,0,,,1.322116698,0,0,0
0,0,1.090221353,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0.624293358
0,0,1.407553044,0,,,0,0,1.101192515,0
0,0,0,0,,,0,0,0,1.433852768
0,0,0,0,,,0,0.894279929,0,0
0,0,0,1.317198953,,,0,0,0,0
0,0,0,0,,,0,0,1.199778034,0
0,0,0,0,,,0,0,1.23645156,0
0,0,0,0,,,0,0,0,0.926166244
0,0.899802184,0,0,,,0,0,0,0
0,0,0,0,,,0.86715397,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.93858912,0,1.078068059,1.511193802
0,0,0.904191287,0,,,0,0.814235875,0,0
0,0,0,0,,,2.021249467,0,0,2.261397422
0,0,0,0,,,0,0,0,0
0,0,0,1.632946511,,,0,0,0,0
0,0,0,0,,,0,0,0,0
1.19576919,0,0,0,,,0,0,1.340412993,0.986570046
1.085899236,1.165690307,1.200802647,0,,,0,0,1.501828942,0
0,0,0,0,,,0,0,1.291889323,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.346528982,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.371771083,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.920658292,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
1.009831255,0,0,0,,,0,0.885839606,0,0
0,0,0,0,,,0,0,0,2.183017737
0,0,0.868076882,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.934193527,0,,,0,0,1.240149208,1.529423813
0,0,0,0,,,0,0,0,0
0.909870177,0,0,0,,,0,0,0,0
0,0,1.277727393,0,,,0,0,0,0.855064161
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.187832417,0,0,3.625307067
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,1.082825308,0,0,,,0,0,0,2.934828497
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.991123103,0,0,0.939966478
0,0,1.333937818,0,,,0,0,0.567329882,0
1.221215335,0,0,0,,,0,0,0,0
0,0,0,1.335274133,,,0,0,0,1.167813174
0,0,0,0,,,0,0,0,0
0,0,1.259733467,0,,,0,0,0,0
0,0,3.254204704,0,,,0,0,0,0
0,0,0,0,,,0,0,1.615956808,0
0,0,0,0,,,0,0,0,0.863328651
0,0,0.768544807,0,,,0,0,0,1.594454187
0,0,0,0,,,0.653434096,0,0,0
0,0,0,0,,,0,0,0,1.155962397
0,0,1.148680978,0,,,1.668770163,0,0,0
0,0,0,0,,,2.004565497,0,0,0
0,0,0,0,,,0,0,0,2.493856874
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.07022889
0,0,1.322817804,0,,,0,0,0,1.240530498
0,0,0,0,,,0,0,0,0
0,0.994478663,0,0,,,1.535786486,0,0,0
0,0,0,0,,,0,0,0,1.869389889
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.186673028,0,0,0.905980065
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0.892292948,0,1.642985947,0,,,0,0,0,0
0,0,1.631390702,0,,,0,0,0,1.734336444
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.359393459,0,,,0,0,0,0
0,1.068673665,0,0,,,0,0,0,0
0,1.007796023,0,0,,,0,0,0,0
0,0,0,0,,,2.99480574,0,0,3.413342858
0,0.922743783,0,0,,,0,0,0,0
0,0,0,0,,,2.157810466,0,0,1.314732873
0,0,0,0,,,0,0,0,1.016193898
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.318628256,0
0,0.894884423,0,0,,,1.513302738,0,0,0
0,0,0,0,,,0,0,0,0.785651685
0,0,0,0,,,0,0,0,0
0,0,0,0.850345345,,,0,0,1.239769578,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.992723334,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,1.042460489,0,0,,,0.841713964,0,1.608947394,1.185787997
0,0,0.710374081,0,,,0,0,0,0
0,0,0,0,,,1.290325146,0,1.28113192,0
0,0,0,0,,,1.29465872,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.624076953,0,,,0,0,1.763468164,0
0,0,0.995431269,0,,,0,0,0,0
0,0,1.083880276,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.311567546,0,,,0,0,0,0
0,0,1.246985635,0,,,0,0,0,2.774376527
0,0.957348209,0.92408719,0,,,0,0,0,0.947105361
0,0,0,0,,,0,0,0,1.101675724
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.950411709,0,0,0
0,0,0,0,,,1.326881401,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0.520168781,0,,,0,0,0,0.773887764
0,0,0,0,,,1.283938854,0,0,0
0,0,0,0,,,0,0,0,0
0,0.639759905,0,0,,,0,0,0,0
0,0,0,1.485780939,,,0,0,1.487348548,0
0,0,0,0,,,0,0,0,0
0,0,0,1.174981017,,,0,0,0,1.080991153
0,0,0,0,,,0,2.023973929,0,0.592039124
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.43100711,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,1.795752286,0,0,0
0,0.992685498,1.279234089,1.269623518,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.727682745,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0.634539053,0,2.681599634
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.270105087,1.153477105
0,0,0,1.653007119,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0.825055711,0.825893561,0,,,0,0,0,2.75899976
0,0,0,0,,,0,0,0,1.510280528
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0.701172209
0,0,0,0,,,0.763947721,0,0,1.041330232
0,0,0,0,,,0,0,0,0
0,0,0,0.917619313,,,0,0,0,0
1.101050971,0,0,0,,,0,0,0,0
0,2.618824134,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
